spec & opt & beta.kappa & beta.alpha & beta.g & beta.e_ts & etv_b & psi.psi & psi.g & psi.e_ts & etv_p & modsel
Lepus_SFS.txt & kappa_est & 0.117 & 1.5 & 0 & 0.07 & 0.009 & 0.11 & 0 & 0.06 & 0.007 & $\mathrm{MMC}$
Lepus_SFS.txt & kappa=1 & 1 & 1.55 & 0 & 0 & 0 & 0.12 & 0 & 0 & 0 & $\Psi$
LittleEgret_SFS.txt & kappa_est & 0.187 & 1.75 & 0 & 0.07 & 0.014 & 0.07 & 0 & 0.07 & 0.014 & $\mathrm{Beta}$
LittleEgret_SFS.txt & kappa=1 & 1 & 1.75 & 0 & 0.02 & 0.02 & 0.07 & 0 & 0.02 & 0.02 & $\mathrm{Beta}$
Melitaea_SFS.txt & kappa_est & 0.169 & 2 & 1.5 & 0.09 & 0.016 & 0 & 1.5 & 0.09 & 0.016 & $\mathrm{KM}$
Melitaea_SFS.txt & kappa=1 & 1 & 1.55 & 0 & 0 & 0 & 0.03 & 1 & 0.03 & 0.03 & $\mathrm{Beta}$
Aptenodytes_SFS.txt & kappa_est & 0.186 & 2 & 2 & 0.11 & 0.022 & 0 & 2 & 0.11 & 0.022 & $\mathrm{KM}$
Aptenodytes_SFS.txt & kappa=1 & 1 & 2 & 1 & 0.04 & 0.04 & 0 & 1 & 0.04 & 0.04 & $\mathrm{KM}$
Melitaea_SFS.txt & kappa_est & 0.186 & 2 & 4 & 0 & 0 & 0 & 4 & 0 & 0 & $\mathrm{KM}$
Melitaea_SFS.txt & kappa=1 & 1 & 2 & 4 & 0 & 0 & 0 & 4 & 0 & 0 & $\mathrm{KM}$
Messor_SFS.txt & kappa_est & 0.046 & 2 & 0.5 & 0 & 0 & 0 & 0.5 & 0 & 0 & $\mathrm{KM}$
Messor_SFS.txt & kappa=1 & 1 & 2 & 0.5 & 0 & 0 & 0 & 0.5 & 0 & 0 & $\mathrm{KM}$
Ostrea_SFS.txt & kappa_est & 0.18 & 1.85 & 0 & 0.06 & 0.011 & 0.04 & 0 & 0.06 & 0.011 & $\mathrm{MMC}$
Ostrea_SFS.txt & kappa=1 & 1 & 1.8 & 0 & 0 & 0 & 0.05 & 0 & 0 & 0 & $\mathrm{MMC}$
Pan_paniscus_SFS.txt & kappa_est & 0.227 & 2 & 2 & 0.01 & 0.002 & 0 & 2 & 0.01 & 0.002 & $\mathrm{KM}$
Pan_paniscus_SFS.txt & kappa=1 & 1 & 1.85 & 1 & 0 & 0 & 0 & 1.5 & 0 & 0 & $\mathrm{Beta}$
Pan_troglodytes_SFS.txt & kappa_est & 0.232 & 1.7 & 0 & 0 & 0 & 0.02 & 0.5 & 0 & 0 & $\mathrm{Beta}$
Pan_troglodytes_SFS.txt & kappa=1 & 1 & 1.7 & 0 & 0 & 0 & 0.02 & 0.5 & 0 & 0 & $\mathrm{Beta}$
Parus_SFS.txt & kappa_est & 0.201 & 1.2 & 0 & 0 & 0 & 0.11 & 1.5 & 0.04 & 0.008 & $\mathrm{MMC}$
Parus_SFS.txt & kappa=1 & 1 & 1.2 & 0 & 0 & 0 & 0.13 & 1 & 0.01 & 0.01 & $\mathrm{Beta}$
Physa_SFS.txt & kappa_est & 0.242 & 1.5 & 0 & 0.05 & 0.013 & 0.05 & 0.5 & 0.07 & 0.018 & $\mathrm{Beta}$
Physa_SFS.txt & kappa=1 & 1 & 1.5 & 0 & 0.02 & 0.02 & 0.05 & 0.5 & 0.03 & 0.03 & $\mathrm{Beta}$
PSAE_SFS.txt & kappa_est & 0.191 & 1.1 & 0 & 0.15 & 0.033 & 0.06 & 3 & 0.2 & 0.046 & $\Psi$
PSAE_SFS.txt & kappa=1 & 1 & 1.1 & 0 & 0.15 & 0.15 & 0.06 & 3 & 0.2 & 0.2 & $\Psi$
Sepia_SFS.txt & kappa_est & 0.153 & 1.95 & 0 & 0.09 & 0.015 & 0.01 & 0 & 0.09 & 0.015 & $\mathrm{KM}$
Sepia_SFS.txt & kappa=1 & 1 & 1.95 & 0 & 0.02 & 0.02 & 0.01 & 0 & 0.02 & 0.02 & $\mathrm{KM}$
STAU_SFS.txt & kappa_est & 0.237 & 1.65 & 0 & 0.15 & 0.04 & 0.01 & 0.5 & 0.2 & 0.056 & $\Psi$
STAU_SFS.txt & kappa=1 & 1 & 1.7 & 0 & 0.15 & 0.15 & 0.01 & 1 & 0.2 & 0.2 & $\Psi$
STPN_SFS.txt & kappa_est & 0.174 & 1.5 & 0 & 0.15 & 0.03 & 0.09 & 0 & 0.2 & 0.042 & $\Psi$
STPN_SFS.txt & kappa=1 & 1 & 1.5 & 0 & 0.08 & 0.08 & 0.09 & 0 & 0.08 & 0.08 & $\mathrm{Beta}$
Tuberculosis_SFS.txt & kappa_est & 0.624 & 1.05 & 2.5 & 0 & 0 & 0.07 & 30 & 0.01 & 0.006 & $\mathrm{Beta}$
Tuberculosis_SFS.txt & kappa=1 & 1 & 1.05 & 2.5 & 0 & 0 & 0.07 & 29 & 0 & 0 & $\mathrm{Beta}$
WillowWarbler_SFS.txt & kappa_est & 0.242 & 2 & 8.5 & 0 & 0 & 0 & 8.5 & 0 & 0 & $\mathrm{KM}$
WillowWarbler_SFS.txt & kappa=1 & 1 & 2 & 8.5 & 0 & 0 & 0 & 8.5 & 0 & 0 & $\mathrm{KM}$
YRI_SFS.txt & kappa_est & 0.235 & 1.85 & 0 & 0.01 & 0.002 & 0 & 0.5 & 0.02 & 0.005 & $\mathrm{Beta}$
YRI_SFS.txt & kappa=1 & 1 & 1.85 & 0 & 0 & 0 & 0 & 0.5 & 0.01 & 0.01 & $\mathrm{Beta}$
Zea_homozygote_SFS.txt & kappa_est & 0.388 & 1.95 & 0 & 0 & 0 & 0.01 & 0 & 0 & 0 & $\Psi$
Zea_homozygote_SFS.txt & kappa=1 & 1 & 1.95 & 0 & 0 & 0 & 0.01 & 0 & 0 & 0 & $\Psi$
ZebraFinch_SFS.txt & kappa_est & 0.283 & 1.75 & 4.5 & 0 & 0 & 0 & 12.5 & 0.01 & 0.003 & $\mathrm{Beta}$
ZebraFinch_SFS.txt & kappa=1 & 1 & 1.75 & 4.5 & 0 & 0 & 0.01 & 11.5 & 0 & 0 & $\mathrm{Beta}$
